Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (basic)...
Model found. Size: 8, Elapsed: 0.000000791s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 19, Elapsed: 0.000015083s
Model found. Size: 18, Elapsed: 0.000001458s
Model found. Size: 17, Elapsed: 0.000001167s
Model found. Size: 16, Elapsed: 0.000001042s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000000792s
Model found. Size: 13, Elapsed: 0.000000875s
Model found. Size: 8, Elapsed: 0.000000709s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 20, Elapsed: 0.000016916s
Model found. Size: 19, Elapsed: 0.000001541s
Model found. Size: 18, Elapsed: 0.000001209s
Model found. Size: 17, Elapsed: 0.000001125s
Model found. Size: 16, Elapsed: 0.000001083s
Model found. Size: 15, Elapsed: 0.000001083s
Model found. Size: 14, Elapsed: 0.000001041s
Model found. Size: 9, Elapsed: 0.000000584s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 19, Elapsed: 0.000016667s
Model found. Size: 18, Elapsed: 0.000001417s
Model found. Size: 17, Elapsed: 0.000001209s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001041s
Model found. Size: 14, Elapsed: 0.000001084s
Model found. Size: 13, Elapsed: 0.000000875s
Model found. Size: 9, Elapsed: 0.000000750s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 19, Elapsed: 0.000017542s
Model found. Size: 18, Elapsed: 0.000001584s
Model found. Size: 17, Elapsed: 0.000001333s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001208s
Model found. Size: 14, Elapsed: 0.000000958s
Model found. Size: 13, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000000958s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 18, Elapsed: 0.000016542s
Model found. Size: 17, Elapsed: 0.000001333s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000001208s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000000750s
Model found. Size: 8, Elapsed: 0.000000709s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 19, Elapsed: 0.000018250s
Model found. Size: 18, Elapsed: 0.000001625s
Model found. Size: 17, Elapsed: 0.000001209s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001041s
Model found. Size: 14, Elapsed: 0.000000917s
Model found. Size: 13, Elapsed: 0.000000917s
Model found. Size: 12, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000000833s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 18, Elapsed: 0.000018667s
Model found. Size: 17, Elapsed: 0.000001417s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000000833s
Model found. Size: 12, Elapsed: 0.000000916s
Model found. Size: 9, Elapsed: 0.000000709s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 18, Elapsed: 0.000019833s
Model found. Size: 17, Elapsed: 0.000001334s
Model found. Size: 16, Elapsed: 0.000001084s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000000833s
Model found. Size: 7, Elapsed: 0.000001084s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 18, Elapsed: 0.000021333s
Model found. Size: 17, Elapsed: 0.000001375s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001084s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000000709s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 18, Elapsed: 0.000024000s
Model found. Size: 17, Elapsed: 0.000001625s
Model found. Size: 16, Elapsed: 0.000001584s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000001166s
Model found. Size: 13, Elapsed: 0.000001041s
Model found. Size: 12, Elapsed: 0.000000959s
Model found. Size: 8, Elapsed: 0.000001000s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 17, Elapsed: 0.000025041s
Model found. Size: 16, Elapsed: 0.000001250s
Model found. Size: 15, Elapsed: 0.000001084s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 13, Elapsed: 0.000000958s
Model found. Size: 12, Elapsed: 0.000000958s
Model found. Size: 8, Elapsed: 0.000000791s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 17, Elapsed: 0.000026750s
Model found. Size: 16, Elapsed: 0.000001292s
Model found. Size: 15, Elapsed: 0.000001125s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000000875s
Model found. Size: 12, Elapsed: 0.000000833s
Model found. Size: 8, Elapsed: 0.000000625s
UNSAT. Elapsed: 0.000000084s
Model found. Size: 19, Elapsed: 0.000029167s
Model found. Size: 18, Elapsed: 0.000001500s
Model found. Size: 17, Elapsed: 0.000001250s
Model found. Size: 16, Elapsed: 0.000001084s
Model found. Size: 15, Elapsed: 0.000001209s
Model found. Size: 14, Elapsed: 0.000000959s
Model found. Size: 9, Elapsed: 0.000000792s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 19, Elapsed: 0.000027833s
Model found. Size: 18, Elapsed: 0.000001500s
Model found. Size: 17, Elapsed: 0.000001250s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000001250s
Model found. Size: 14, Elapsed: 0.000001084s
Model found. Size: 13, Elapsed: 0.000000958s
Model found. Size: 12, Elapsed: 0.000000834s
Model found. Size: 9, Elapsed: 0.000000916s
UNSAT. Elapsed: 0.000000083s
